classe_obf	typedef_index	nom_clair	score	methode	statut	note
		Com.Ankama.Dofus.Server.Game.Protocol.Common.CharacteristicsInfo			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.EntityLook			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.FightMark			À_CLASSER	354 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.FightPhaseInfo			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.FightRemovableEffect			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.FightResultListEntry			À_CLASSER	0 candidat de même forme dans Ankama.Dofus.Protocol.Game.dll (forme=(((),), ((((),),),)))
		Com.Ankama.Dofus.Server.Game.Protocol.Common.FightTeamLightInformation			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.FightTeamMemberCharacter			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.FightTeamMemberEntity			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.FightTriggerPhaseEffect			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.FighterEntityLightInformation			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.GuildInformation			À_CLASSER	354 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.GuildLogbookEntry			À_CLASSER	2 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.House			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.InteractiveElement			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.ItemMinimalInformation			À_CLASSER	354 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.MapExtendedCoordinates			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.ObjectEffect			À_CLASSER	73 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.ObjectGidWithQuantity			À_CLASSER	354 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.ObjectInRolePlay			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.ObjectUidWithQuantity			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
