nom_message_clair	nom_complet	opcode_ou_typeurl	direction	champs	fichier:ligne
	hlx	hlx		1:int32:ehjt	refs/dofus-deobfs/protos/filtered/hlx.proto:3
	hly	hly		1:int32:ehjx;2:int32:ehjy	refs/dofus-deobfs/protos/filtered/hly.proto:3
	hlz	hlz		1:int32:ehkc;2:int32:ehkd	refs/dofus-deobfs/protos/filtered/hlz.proto:3
	hma	hma		1:int32:ehkh;2:int32:ehki	refs/dofus-deobfs/protos/filtered/hma.proto:3
	hmb	hmb		1:hmf:ehkm;2:int64:ehkn	refs/dofus-deobfs/protos/filtered/hmb.proto:4
	hmc	hmc		1:repeated hmf:ehks	refs/dofus-deobfs/protos/filtered/hmc.proto:4
	hmf	hmf		1:int32:ehlb;2:hmd:ehlc	refs/dofus-deobfs/protos/filtered/hmf.proto:4
	hmf+hmd	.hmd		1:int32:ehkw;2:repeated hmi:ehkx	refs/dofus-deobfs/protos/filtered/hmf.proto:7
	hmi	hmi		1:int32:ehll;2:bool:ehlm;3:repeated string:ehln;4:efn:blew	refs/dofus-deobfs/protos/filtered/hmi.proto:4
	hmk	hmk			refs/dofus-deobfs/protos/filtered/hmk.proto:3
	hml	hml			refs/dofus-deobfs/protos/filtered/hml.proto:3
	hmm	hmm			refs/dofus-deobfs/protos/filtered/hmm.proto:3
	hmn	hmn			refs/dofus-deobfs/protos/filtered/hmn.proto:3
	hmo	hmo		1:repeated jny:ehmf	refs/dofus-deobfs/protos/filtered/hmo.proto:4
	hmp	hmp		1:jny:ehmj	refs/dofus-deobfs/protos/filtered/hmp.proto:4
	hmq	hmq		1:int32:ehmn	refs/dofus-deobfs/protos/filtered/hmq.proto:3
	hmr	hmr		1:jny:ehmr	refs/dofus-deobfs/protos/filtered/hmr.proto:4
	hmu	hmu		1:jny:ehmv;2:hms:ehmw	refs/dofus-deobfs/protos/filtered/hmu.proto:4
	hmw	hmw		1:string:ehnb;2:string:ehnc;3:int32:ehnd;4:bool:ehne;5:string:ehnf;7:hng:ehnh;8:hnb:ehni;9:hmy:ehnj;10:hnd:ehnk;11:string:ehnl	refs/dofus-deobfs/protos/filtered/hmw.proto:8
	hmx	hmx		1:string:ehnq;2:string:ehnr;3:int32:ehns;4:bool:ehnt;5:string:ehnu;6:hng:ehnv	refs/dofus-deobfs/protos/filtered/hmx.proto:5
	hmy	hmy		1:jie:ehoa;2:jie:ehob	refs/dofus-deobfs/protos/filtered/hmy.proto:4
	hnb	hnb			refs/dofus-deobfs/protos/filtered/hnb.proto:3
	hnb+hmz	.hmz		1:int32:ehof;2:int32:ehoh;3:int32:ehoi;4:int32:ehoj;5:int32:ehok;6:int32:ehol	refs/dofus-deobfs/protos/filtered/hnb.proto:5
	hnc	hnc		1:int32:ehot;2:int32:ehou;3:repeated jnn:ehow	refs/dofus-deobfs/protos/filtered/hnc.proto:4
	hnd	hnd		1:int32:ehpa;2:int32:ehpb;3:bool:ehpc	refs/dofus-deobfs/protos/filtered/hnd.proto:3
