nom_message_clair	nom_complet	opcode_ou_typeurl	direction	champs	fichier:ligne
Hja	SpouseInformationEvent+Hja	.hja		1:bool:ealo;2:bool:ealp;3:long:ealq;4:int:ealr;5:int:eals	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hjc.cs:52
SmileyRequest	SmileyRequest	hjd	C2S	1:int:eamk	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hjd.cs:10
SmileyEvent	SmileyEvent	hje	S2C	1:long:eamo;2:int:eamq;3:int:eamr;4:long:eamt	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hje.cs:10
AccessoryPreviewErrorEvent	AccessoryPreviewErrorEvent	hji	S2C	1:Hjg:eamy	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hji.cs:10
AccessoryPreviewRequest	AccessoryPreviewRequest	hjj	C2S	1:bool:eanc;2:List<int>:eand	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hjj.cs:10
AccessoryPreviewEvent	AccessoryPreviewEvent	hjk	S2C	1:EntityLook:eanh	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hjk.cs:10
ServerSessionConstantsEvent	ServerSessionConstantsEvent	hjo	S2C	1:List<Hjm>:eanr	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hjo.cs:10
Hjm	ServerSessionConstantsEvent+Hjm	.hjm		1:int:eanm;2:long:eann	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hjo.cs:21
ServerExperienceModifierEvent	ServerExperienceModifierEvent	hjp	S2C	1:int:eanv	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hjp.cs:10
ServerSettingsEvent	ServerSettingsEvent	hjq	S2C	1:Jdl:eanz;2:bool:eaoa;3:int:eaob;4:int:eaoc;5:string:eaod;6:int:eaoe	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hjq.cs:10
FileCheckEvent	FileCheckEvent	hjt	S2C	1:Hjs:eaoj;2:string:eaok	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hjt.cs:10
FileCheckRequest	FileCheckRequest	hju	C2S	1:Hjs:eaoo;2:string:eaop	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hju.cs:10
TrustStatusEvent	TrustStatusEvent	hjv	S2C	1:bool:eaot;2:bool:eaou	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hjv.cs:10
CinematicEvent	CinematicEvent	hjx	S2C	1:int:eaoz	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hjx.cs:10
MonsterNotAngryAtPlayerEvent	MonsterNotAngryAtPlayerEvent	hjz	S2C	1:long:eape;2:long:eapf;3:long:eapg	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hjz.cs:10
PlayerFightFriendlyAnsweredEvent	PlayerFightFriendlyAnsweredEvent	hka	S2C	1:long:eapk;2:bool:eapl;3:long:eapm;4:int:eapn	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hka.cs:10
FightRequestCanceledEvent	FightRequestCanceledEvent	hkb	S2C	1:long:eapr;2:long:eaps;3:int:eapt	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hkb.cs:10
MonsterAngryAtPlayerEvent	MonsterAngryAtPlayerEvent	hkc	S2C	1:long:eapx;2:long:eapy;3:long:eapz;4:long:eaqa;5:long:eaqb	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hkc.cs:10
RemoveChallengeEvent	RemoveChallengeEvent	hkd	S2C	1:int:eaqf	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hkd.cs:10
PlayerFightFriendlyRequestedEvent	PlayerFightFriendlyRequestedEvent	hke	S2C	1:int:fight_id;2:int:fight_id2;3:long:source_id;4:long:target_id	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hke.cs:10
DelayedActionFinishedEvent	DelayedActionFinishedEvent	hkf	S2C	1:long:eaqq;2:List<long>:eaqr;3:Jcm:eaqs	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hkf.cs:10
PlayerFightRequest	PlayerFightRequest	hkg	C2S	1:int:eaqw;2:bool:eaqx;3:long:eaqy	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hkg.cs:10
SpellAnimEvent	SpellAnimEvent	hkh	S2C	1:long:earc;2:Jdg:eard;3:int:eare;4:int:earf;5:int:earg	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hkh.cs:10
DelayedActionCancelRequest	DelayedActionCancelRequest	hki	C2S		refs/otomai/libs/Bubble.Shared/Protocol/Game/Hki.cs:10
ShowChallengeEvent	ShowChallengeEvent	hkj	S2C	1:FightCommonInformation:earn	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hkj.cs:10
AggressionEvent	AggressionEvent	hkk	S2C	1:long:earr;2:long:ears;3:long:eart	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hkk.cs:10
AttackMonsterRequest	AttackMonsterRequest	hkl	C2S	1:long:monster_group_id	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hkl.cs:10
DelayedActionEvent	DelayedActionEvent	hkm	S2C	1:Jcm:easb;2:int:easc;3:long:ease;4:long:easf	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hkm.cs:10
PlayerFightFriendlyAnswerRequest	PlayerFightFriendlyAnswerRequest	hkn	C2S	1:int:fight_id;2:bool:accept;3:bool:accept2	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hkn.cs:10
ExitRequest	ExitRequest	hko	C2S		refs/otomai/libs/Bubble.Shared/Protocol/Game/Hko.cs:10
ReportResponse	ReportResponse	hks	S2C	1:bool:east;2:Hkq:easu	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hks.cs:10
ReportRequest	ReportRequest	hkv	C2S	1:Hkt:easy;2:string:easz;3:string:eata;4:long:eatb	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hkv.cs:10
QuestObjectiveValidationRequest	QuestObjectiveValidationRequest	hkx	C2S	1:int:eatg;2:int:eath	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hkx.cs:10
QuestObjectiveUpdatedEvent	QuestObjectiveUpdatedEvent	hky	S2C	1:int:eatl;2:Completion:eatm;3:int:eatn	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hky.cs:10
QuestStepValidatedEvent	QuestStepValidatedEvent	hkz	S2C	1:List<string>:eatr;2:int:eats;3:int:eatt	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hkz.cs:10
QuestActive	QuestActive	hlc		1:Hla:eauc;2:int:eaud	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hlc.cs:10
Hla	QuestActive+Hla	.hla		1:int:eatx;2:List<QuestObjective>:eaty	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hlc.cs:24
QuestStepStartedEvent	QuestStepStartedEvent	hld	S2C	1:int:eauh;2:int:eaui	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hld.cs:10
QuestStepInformationRequest	QuestStepInformationRequest	hle	C2S	1:int:eaum	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hle.cs:10
QuestObjectiveFollowRequest	QuestObjectiveFollowRequest	hlf	C2S	1:int:eauq;2:int:eaur	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hlf.cs:10
QuestObjective	QuestObjective	hlg		1:int:eauv;2:bool:eauw;3:Completion:eaux;4:List<string>:eauy	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hlg.cs:10
QuestStepInformationEvent	QuestStepInformationEvent	hlh	S2C	1:QuestActive:eavc;2:long:eavd;3:long:eavf	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hlh.cs:10
QuestStartedEvent	QuestStartedEvent	hli	S2C	1:int:eavk	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hli.cs:10
QuestsFollowedOrderRefreshRequest	QuestsFollowedOrderRefreshRequest	hlj	C2S	1:List<int>:eavo;2:int:eavp	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hlj.cs:10
QuestsFollowedEvent	QuestsFollowedEvent	hlk	S2C	1:List<QuestActive>:eavu;2:int:eavv	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hlk.cs:10
QuestStartRequest	QuestStartRequest	hll	C2S	1:int:eavz;2:bool:eawa	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hll.cs:10
QuestObjectiveValidatedEvent	QuestObjectiveValidatedEvent	hlm	S2C	1:int:eawe;2:int:eawf	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hlm.cs:10
GuideModQuitRequest	GuideModQuitRequest	hln	C2S		refs/otomai/libs/Bubble.Shared/Protocol/Game/Hln.cs:10
QuestsRequest	QuestsRequest	hlo	C2S		refs/otomai/libs/Bubble.Shared/Protocol/Game/Hlo.cs:10
QuestsEvent	QuestsEvent	hlr	S2C	1:List<int>:eawv;2:List<Hlp>:eaww;3:long:eawx;4:List<QuestActive>:eawz;5:long:eaxa	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hlr.cs:10
Hlp	QuestsEvent+Hlp	.hlp		1:int:eawp;2:int:eawq;3:int:eawr	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hlr.cs:47
Completion	Completion	hls		1:long:eaxf;2:long:eaxg	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hls.cs:10
GuideModReturnRequest	GuideModReturnRequest	hlt	C2S		refs/otomai/libs/Bubble.Shared/Protocol/Game/Hlt.cs:10
QuestObjectiveUnfollowRequest	QuestObjectiveUnfollowRequest	hlu	C2S	1:int:eaxn;2:int:eaxo	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hlu.cs:10
