type_nom	protocol_id	fichier:ligne	nb_champs	champs	parent	ordre_serialisation	emu	version
HumanOption	406	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/HumanOption.as:9	0				client-as3	242
HumanOptionAlliance	425	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/HumanOptionAlliance.as:9	2	allianceInformations:AllianceInformations;aggressable:uint	HumanOption	super:HumanOption;allianceInformations:asAllianceInformations;aggressable:writeByte	client-as3	242
HumanOptionEmote	407	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/HumanOptionEmote.as:9	2	emoteId:uint;emoteStartTime:Number	HumanOption	super:HumanOption;emoteId:writeByte;emoteStartTime:writeDouble	client-as3	242
HumanOptionFollowers	410	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/HumanOptionFollowers.as:10	1	followingCharactersLook:Vector.<IndexedEntityLook>	HumanOption	super:HumanOption;followingCharactersLook#len:writeShort;followingCharactersLook[]:asIndexedEntityLook	client-as3	242
HumanOptionGuild	409	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/HumanOptionGuild.as:9	1	guildInformations:GuildInformations	HumanOption	super:HumanOption;guildInformations:asGuildInformations	client-as3	242
HumanOptionObjectUse	449	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/HumanOptionObjectUse.as:9	3	delayTypeId:uint;delayEndTime:Number;objectGID:uint	HumanOption	super:HumanOption;delayTypeId:writeByte;delayEndTime:writeDouble;objectGID:writeVarShort	client-as3	242
HumanOptionOrnament	411	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/HumanOptionOrnament.as:9	1	ornamentId:uint	HumanOption	super:HumanOption;ornamentId:writeVarShort	client-as3	242
HumanOptionSkillUse	495	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/HumanOptionSkillUse.as:9	3	elementId:uint;skillId:uint;skillEndTime:Number	HumanOption	super:HumanOption;elementId:writeVarInt;skillId:writeVarShort;skillEndTime:writeDouble	client-as3	242
HumanOptionTitle	408	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/HumanOptionTitle.as:9	2	titleId:uint;titleParam:String	HumanOption	super:HumanOption;titleId:writeVarShort;titleParam:writeUTF	client-as3	242
IdentifiedEntityDispositionInformations	107	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/IdentifiedEntityDispositionInformations.as:8	1	id:Number	EntityDispositionInformations	super:EntityDispositionInformations;id:writeDouble	client-as3	242
Idol	489	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/idol/Idol.as:9	3	id:uint;xpBonusPercent:uint;dropBonusPercent:uint		id:writeVarShort;xpBonusPercent:writeVarShort;dropBonusPercent:writeVarShort	client-as3	242
IdolsPreset	491	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/inventory/preset/IdolsPreset.as:8	3	presetId:uint;symbolId:uint;idolId:Vector.<uint>		presetId:writeByte;symbolId:writeByte;idolId#len:writeShort;idolId[]:writeVarShort	client-as3	242
IgnoredInformations	106	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/friend/IgnoredInformations.as:8	0		AbstractContactInformations	super:AbstractContactInformations	client-as3	242
IgnoredOnlineInformations	105	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/friend/IgnoredOnlineInformations.as:9	4	playerId:Number;playerName:String;breed:int;sex:Boolean	IgnoredInformations	super:IgnoredInformations;playerId:writeVarLong;playerName:writeUTF;breed:writeByte;sex:writeBoolean	client-as3	242
IndexedEntityLook	405	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/look/IndexedEntityLook.as:9	2	look:EntityLook;index:uint		look:asEntityLook;index:writeByte	client-as3	242
