nature	nom_a	nom_b	id_a	id_b	detail	build_a	build_b
AJOUTE		TeleportPlayerCloseMessage		4378		242	273
AJOUTE		TeleportPlayerOfferMessage		9777		242	273
AJOUTE		UpdateAllGuildRankRequestMessage		1965		242	273
AJOUTE		UpdateGuildRankRequestMessage		9846		242	273
AJOUTE		UpdateGuildRightsMessage		3888		242	273
AJOUTE		UpdateMountCharacteristicsMessage		1346		242	273
AJOUTE		UpdateRecruitmentInformationMessage		691		242	273
AJOUTE		WatchInventoryContentMessage		8887		242	273
AJOUTE		WatchQuestListMessage		5644		242	273
AJOUTE		WatchQuestStepInfoMessage		141		242	273
AJOUTE		WatchQuestStepInfoRequestMessage		4330		242	273
AJOUTE		ZaapDestinationsMessage		9132		242	273
RETIRE	AbstractPresetDeleteMessage		6735			242	273
RETIRE	AbstractPresetSaveMessage		6736			242	273
RETIRE	AbstractPresetSaveResultMessage		6734			242	273
RETIRE	AbstractTaxCollectorListMessage		6568			242	273
RETIRE	AggregateStatMessage		6669			242	273
RETIRE	AggregateStatWithDataMessage		6662			242	273
RETIRE	AllianceChangeGuildRightsMessage		6426			242	273
RETIRE	AllianceGuildLeavingMessage		6399			242	273
RETIRE	AllianceTaxCollectorDialogQuestionExtendedMessage		6445			242	273
RETIRE	AllianceVersatileInfoListMessage		6436			242	273
RETIRE	BasicCharactersListMessage		6475			242	273
RETIRE	ChallengeInfoMessage		6022			242	273
RETIRE	ChallengeTargetUpdateMessage		6123			242	273
RETIRE	ChallengeTargetsListMessage		5613			242	273
RETIRE	ChallengeTargetsListRequestMessage		5614			242	273
RETIRE	CharacterReportMessage		6079			242	273
RETIRE	CharactersListWithModificationsMessage		6120			242	273
RETIRE	ChatMessageReportMessage		821			242	273
RETIRE	ComicReadingBeginMessage		6536			242	273
RETIRE	DareCancelRequestMessage		6680			242	273
RETIRE	DareCanceledMessage		6679			242	273
RETIRE	DareCreatedListMessage		6663			242	273
RETIRE	DareCreatedMessage		6668			242	273
RETIRE	DareCreationRequestMessage		6665			242	273
RETIRE	DareErrorMessage		6667			242	273
RETIRE	DareInformationsMessage		6656			242	273
RETIRE	DareInformationsRequestMessage		6659			242	273
RETIRE	DareListMessage		6661			242	273
RETIRE	DareRewardConsumeRequestMessage		6676			242	273
RETIRE	DareRewardConsumeValidationMessage		6675			242	273
RETIRE	DareRewardWonMessage		6678			242	273
RETIRE	DareRewardsListMessage		6677			242	273
RETIRE	DareSubscribeRequestMessage		6666			242	273
RETIRE	DareSubscribedListMessage		6658			242	273
RETIRE	DareSubscribedMessage		6660			242	273
RETIRE	DareVersatileListMessage		6657			242	273
RETIRE	DareWonListMessage		6682			242	273
RETIRE	DareWonMessage		6681			242	273
RETIRE	DownloadCurrentSpeedMessage		1511			242	273
RETIRE	DownloadErrorMessage		1513			242	273
RETIRE	DownloadGetCurrentSpeedRequestMessage		1510			242	273
RETIRE	DownloadPartMessage		1503			242	273
RETIRE	DownloadSetSpeedRequestMessage		1512			242	273
RETIRE	ExchangeCraftInformationObjectMessage		5794			242	273
RETIRE	ExchangeGuildTaxCollectorGetMessage		5762			242	273
RETIRE	ExchangeOnHumanVendorRequestMessage		5772			242	273
RETIRE	ExchangeReplyTaxVendorMessage		5787			242	273
RETIRE	ExchangeRequestOnShopStockMessage		5753			242	273
RETIRE	ExchangeShopStockMovementRemovedMessage		5907			242	273
RETIRE	ExchangeShopStockMovementUpdatedMessage		5909			242	273
RETIRE	ExchangeShopStockMultiMovementRemovedMessage		6037			242	273
RETIRE	ExchangeShopStockMultiMovementUpdatedMessage		6038			242	273
RETIRE	ExchangeShopStockStartedMessage		5910			242	273
RETIRE	ExchangeShowVendorTaxMessage		5783			242	273
RETIRE	ExchangeStartAsVendorMessage		5775			242	273
RETIRE	ExchangeStartOkHumanVendorMessage		5767			242	273
RETIRE	GameRolePlayArenaUpdatePlayerInfosAllQueuesMessage		6728			242	273
RETIRE	GetPartInfoMessage		1506			242	273
RETIRE	GetPartsListMessage		1501			242	273
RETIRE	GuildFightJoinRequestMessage		5717			242	273
RETIRE	GuildFightLeaveRequestMessage		5715			242	273
RETIRE	GuildFightPlayersEnemiesListMessage		5928			242	273
RETIRE	GuildFightPlayersEnemyRemoveMessage		5929			242	273
RETIRE	GuildFightPlayersHelpersJoinMessage		5720			242	273
RETIRE	GuildFightPlayersHelpersLeaveMessage		5719			242	273
RETIRE	GuildFightTakePlaceRequestMessage		6235			242	273
RETIRE	GuildInAllianceFactsMessage		6422			242	273
RETIRE	GuildInfosUpgradeMessage		5636			242	273
RETIRE	GuildInvitationByNameMessage		6115			242	273
RETIRE	GuildMemberSetWarnOnConnectionMessage		6159			242	273
RETIRE	GuildMemberWarnOnConnectionStateMessage		6160			242	273
RETIRE	GuildVersatileInfoListMessage		6435			242	273
RETIRE	HouseKickIndoorMerchantRequestMessage		5661			242	273
RETIRE	IdentificationAccountForceMessage		6119			242	273
RETIRE	IdolFightPreparationUpdateMessage		6586			242	273
RETIRE	IdolListMessage		6585			242	273
RETIRE	IdolPartyLostMessage		6580			242	273
RETIRE	IdolPartyRefreshMessage		6583			242	273
RETIRE	IdolPartyRegisterRequestMessage		6582			242	273
RETIRE	IdolSelectErrorMessage		6584			242	273
RETIRE	IdolSelectRequestMessage		6587			242	273
RETIRE	IdolSelectedMessage		6581			242	273
RETIRE	IdolsPresetDeleteMessage		6602			242	273
RETIRE	IdolsPresetDeleteResultMessage		6605			242	273
RETIRE	IdolsPresetSaveMessage		6603			242	273
RETIRE	IdolsPresetSaveResultMessage		6604			242	273
RETIRE	IdolsPresetUpdateMessage		6606			242	273
RETIRE	IdolsPresetUseMessage		6615			242	273
RETIRE	IdolsPresetUseResultMessage		6614			242	273
RETIRE	InventoryContentAndPresetMessage		6162			242	273
RETIRE	InventoryPresetDeleteMessage		6169			242	273
RETIRE	InventoryPresetDeleteResultMessage		6173			242	273
RETIRE	InventoryPresetItemUpdateErrorMessage		6211			242	273
RETIRE	InventoryPresetItemUpdateMessage		6168			242	273
